word,score,meaning
acquitted,2,To declare or find innocent or not guilty.
acquitting,2,To declare or find innocent or not guilty.
acrimonious,-3,"Harsh and sharp, or bitter and not pleasant to the taste; acrid, pungent."
active,1,A person or thing that is acting or capable of acting.
adequate,1,To equalize; to make adequate.
admire,3,To be amazed at; to view with surprise; to marvel at.
admired,3,To be amazed at; to view with surprise; to marvel at.
admires,3,To be amazed at; to view with surprise; to marvel at.
admiring,3,To be amazed at; to view with surprise; to marvel at.
admit,-1,"To allow to enter; to grant entrance (to), whether into a place, into the mind, or into consideration"
admits,-1,"To allow to enter; to grant entrance (to), whether into a place, into the mind, or into consideration"
admitted,-1,"To allow to enter; to grant entrance (to), whether into a place, into the mind, or into consideration"
admonish,-2,"To warn or notify of a fault; to reprove gently or kindly, but seriously; to exhort."
admonished,-2,"To warn or notify of a fault; to reprove gently or kindly, but seriously; to exhort."
adopt,1,"To take by choice into relationship (a child, heir, friend, citizen, etc.)"
adopts,1,"To take by choice into relationship (a child, heir, friend, citizen, etc.)"
adorable,3,Befitting of being adored; cute or loveable.
adore,3,To worship.
adored,3,To worship.
adores,3,To worship.
advanced,1,To promote or advantage.
advantage,2,"Any condition, circumstance, opportunity or means, particularly favorable to success, or to any desired end."
advantages,2,"Any condition, circumstance, opportunity or means, particularly favorable to success, or to any desired end."
adventure,2,"The encountering of risks; a bold undertaking, in which dangers are likely to be encountered, and the issue is staked upon unforeseen events; a daring feat."
adventures,2,"The encountering of risks; a bold undertaking, in which dangers are likely to be encountered, and the issue is staked upon unforeseen events; a daring feat."
adventurous,2,(of a person) Inclined to adventure; willing to incur risks; prone to embark in hazardous enterprise; rashly daring.
affected,-1,To influence or alter.
affection,3,The act of affecting or acting upon.
affectionate,3,(of a person) Having affection or warm regard; loving; fond.
afflicted,-1,"To cause (someone) pain, suffering or distress."
affronted,-1,"To insult intentionally, especially openly."
afraid,-2,"(usually used predicatively, not attributively, be afraid) Impressed with fear or apprehension; in fear."
aggravate,-2,To make (an offence) worse or more severe; to increase in offensiveness or heinousness.
aggravated,-2,To make (an offence) worse or more severe; to increase in offensiveness or heinousness.
aggravates,-2,To make (an offence) worse or more severe; to increase in offensiveness or heinousness.
aggravating,-2,To make (an offence) worse or more severe; to increase in offensiveness or heinousness.
aggression,-2,The act of initiating hostilities or invasion.
aggressions,-2,The act of initiating hostilities or invasion.
aggressive,-2,Characterized by aggression; unjustly attacking; prone to behave in a way that involves attacking or arguing.
aghast,-2,Terrified; struck with amazement; showing signs of terror or horror.
agog,2,"In eager desire, eager, astir."
agonise,-3,To writhe with agony; to suffer violent anguish.
agonised,-3,To writhe with agony; to suffer violent anguish.
agonises,-3,To writhe with agony; to suffer violent anguish.
agonising,-3,To writhe with agony; to suffer violent anguish.
agonize,-3,To writhe with agony; to suffer violent anguish.
agonized,-3,To writhe with agony; to suffer violent anguish.
agonizes,-3,To writhe with agony; to suffer violent anguish.
agonizing,-3,To writhe with agony; to suffer violent anguish.
agree,1,"To harmonize in opinion, statement, or action; to be in unison or concord; to be or become united or consistent; to concur."
agreeable,2,Something pleasing; anything that is agreeable.
agreed,1,"To harmonize in opinion, statement, or action; to be in unison or concord; to be or become united or consistent; to concur."
agreement,1,An understanding between entities to follow a specific course of conduct.
agrees,1,"To harmonize in opinion, statement, or action; to be in unison or concord; to be or become united or consistent; to concur."
alarm,-2,"A summons to arms, as on the approach of an enemy."
alarmed,-2,To call to arms for defense
alarmist,-2,One who causes others to become alarmed without cause.
alarmists,-2,One who causes others to become alarmed without cause.
alas,-1,"Used to express sorrow, regret, compassion or grief."
alert,-1,An alarm.
alienation,-2,The act of alienating.
alive,1,Having life; living; not dead
allergic,-2,A person with a tendency to having allergies; a person with multiple or severe allergies.
allow,1,"To grant, give, admit, accord, afford, or yield; to let one have."
alone,-2,"By oneself, solitary."
amaze,2,"Amazement, astonishment."
amazed,2,"To fill with wonder and surprise; to astonish, astound, surprise or perplex."
amazes,2,"To fill with wonder and surprise; to astonish, astound, surprise or perplex."
amazing,4,"To fill with wonder and surprise; to astonish, astound, surprise or perplex."
ambitious,2,"(of a person or their character) Having or showing ambition; wanting a lot of power, honor, respect, superiority, or other distinction."
ambivalent,-1,"Simultaneously experiencing or expressing opposing or contradictory feelings, beliefs, or motivations."
amuse,3,To entertain or occupy in a pleasant manner; to stir with pleasing emotions.
amused,3,To entertain or occupy in a pleasant manner; to stir with pleasing emotions.
amusement,3,Entertainment.
amusements,3,Entertainment.
anger,-3,"A strong feeling of displeasure, hostility or antagonism towards someone or something, usually combined with an urge to harm."
angers,-3,"A strong feeling of displeasure, hostility or antagonism towards someone or something, usually combined with an urge to harm."
angry,-3,Displaying or feeling anger.
anguish,-3,"Extreme pain, either of body or mind; excruciating distress."
anguished,-3,To suffer pain.
animosity,-2,Violent hatred leading to active opposition; active enmity; energetic dislike.
annoy,-2,A feeling of discomfort or vexation caused by what one dislikes.
annoyance,-2,That which annoys.
annoyed,-2,"To disturb or irritate, especially by continued or repeated acts; to bother with unpleasant deeds."
annoying,-2,"To disturb or irritate, especially by continued or repeated acts; to bother with unpleasant deeds."
annoys,-2,A feeling of discomfort or vexation caused by what one dislikes.
antagonistic,-2,Contending or acting against.
anti,-1,A person opposed to a concept or principle.
anticipation,1,"The act of anticipating, taking up, placing, or considering something beforehand, or before the proper time in natural order."
anxiety,-2,"An unpleasant state of mental uneasiness, nervousness, apprehension and obsession or concern about some uncertain event."
anxious,-2,Nervous and worried.
apathetic,-3,Void of feeling; not susceptible of deep emotion
apathy,-3,Lack of emotion or motivation; lack of interest or enthusiasm towards something; disinterest (in something).
apeshit,-3,Out of control due to anger or excitement.
apocalyptic,-2,One who predicts apocalypse.
apologise,-1,"(often followed by “for”) To make an apology or excuse; to acknowledge some fault or offense, with expression of regret for it, by way of amends"
apologised,-1,"(often followed by “for”) To make an apology or excuse; to acknowledge some fault or offense, with expression of regret for it, by way of amends"
apologises,-1,"(often followed by “for”) To make an apology or excuse; to acknowledge some fault or offense, with expression of regret for it, by way of amends"
apologising,-1,"(often followed by “for”) To make an apology or excuse; to acknowledge some fault or offense, with expression of regret for it, by way of amends"
apologize,-1,"(often followed by “for”) To make an apology or excuse; to acknowledge some fault or offense, with expression of regret for it, by way of amends"
apologized,-1,"(often followed by “for”) To make an apology or excuse; to acknowledge some fault or offense, with expression of regret for it, by way of amends"
apologizes,-1,"(often followed by “for”) To make an apology or excuse; to acknowledge some fault or offense, with expression of regret for it, by way of amends"
apologizing,-1,"(often followed by “for”) To make an apology or excuse; to acknowledge some fault or offense, with expression of regret for it, by way of amends"
apology,-1,An expression of remorse or regret for having said or done something that harmed another: an instance of apologizing (saying that one is sorry).
appalled,-2,To fill with horror; to dismay.
appalling,-2,To fill with horror; to dismay.
appease,2,To make quiet; to calm; to reduce to a state of peace; to dispel (anger or hatred).
appeased,2,To make quiet; to calm; to reduce to a state of peace; to dispel (anger or hatred).
appeases,2,To make quiet; to calm; to reduce to a state of peace; to dispel (anger or hatred).
appeasing,2,To make quiet; to calm; to reduce to a state of peace; to dispel (anger or hatred).
applaud,2,Applause; applauding.
applauded,2,To express approval (of something) by clapping the hands.
applauding,2,To express approval (of something) by clapping the hands.
applauds,2,Applause; applauding.
applause,2,"The act of applauding; approbation and praise publicly expressed by the clapping of hands, stamping or tapping of the feet, acclamation, huzzas, or other means; marked commendation."
appreciate,2,To be grateful or thankful for.
appreciated,2,To be grateful or thankful for.
appreciates,2,To be grateful or thankful for.
appreciating,2,To be grateful or thankful for.
appreciation,2,"A fair valuation or estimate of merit, worth, weight, etc.; recognition of excellence."
apprehensive,-2,Anticipating something with anxiety or fear.
approval,2,"An expression granting permission; an indication of agreement with a proposal; an acknowledgement that a person, thing or event meets requirements."
approved,2,To sanction officially; to ratify; to confirm; to set as satisfactory.
approves,2,To sanction officially; to ratify; to confirm; to set as satisfactory.
ardent,1,"Full of ardor; fervent, passionate."
arrest,-2,"A check, stop, an act or instance of arresting something."
arrested,-3,To stop the motion of (a person or animal).
arrests,-2,"A check, stop, an act or instance of arresting something."
arrogant,-2,"Having excessive pride in oneself, often with contempt or disrespect for others."
ashame,-2,To feel shame; to be ashamed. (Misspelling of 'ashamed')
ashamed,-2,To feel shame; to be ashamed.
ass,-4,"Any of several species of horse-like animals, especially Equus asinus, the domesticated of which are used as beasts of burden."
assassination,-3,"The murder of a person, especially for political reasons or for personal gain."
assassinations,-3,"The murder of a person, especially for political reasons or for personal gain."
asset,2,Something or someone of any value; any portion of one's property or effects so considered.
assets,2,Something or someone of any value; any portion of one's property or effects so considered.
assfucking,-4,A highly offensive or vulgar sexual act.
asshole,-4,The anus.
astonished,2,To surprise greatly.
astound,3,"To astonish, bewilder or dazzle."
astounded,3,"To astonish, bewilder or dazzle."
astounding,3,"To astonish, bewilder or dazzle."
astoundingly,3,"In an astounding manner; so as to astound, surprise, or amaze."
astounds,3,"To astonish, bewilder or dazzle."
attack,-1,"An attempt to cause damage, injury to, or death of opponent or enemy."
attacked,-1,To apply violent force to someone or something.
attacking,-1,To apply violent force to someone or something.
attacks,-1,"An attempt to cause damage, injury to, or death of opponent or enemy."
attract,1,To pull toward without touching.
attracted,1,To pull toward without touching.
attracting,2,To pull toward without touching.
attraction,2,The tendency to attract.
attractions,2,The tendency to attract.
attracts,1,To pull toward without touching.
audacious,3,Showing willingness to take bold risks; recklessly daring.
authority,1,The power to enforce rules or give orders.
avert,-1,To turn aside or away.
averted,-1,To turn aside or away.
averts,-1,To turn aside or away.
avid,2,Enthusiastic; keen; eager; showing great interest in something or desire to do something
avoid,-1,To try not to meet or communicate with (a person); to shun
avoided,-1,To try not to meet or communicate with (a person); to shun
avoids,-1,To try not to meet or communicate with (a person); to shun
await,-1,A waiting for; ambush.
awaited,-1,To wait for.
awaits,-1,A waiting for; ambush.
award,3,"A judgment, sentence, or final decision. Specifically: The decision of arbitrators in a case submitted."
awarded,3,"To give by sentence or judicial determination; to assign or apportion, after careful regard to the nature of the case; to adjudge"
awards,3,"A judgment, sentence, or final decision. Specifically: The decision of arbitrators in a case submitted."
awesome,4,"Short for awesomeness: the quality, state, or essence of being awesome."
awful,-3,Very bad.
awkward,-2,Someone or something that is awkward.
axe,-1,"A tool for felling trees or chopping wood etc. consisting of a heavy head flattened to a blade on one side, and a handle attached to it."
axed,-1,"To request (information, or an answer to a question)."
backed,1,To go in the reverse direction.
backing,2,To go in the reverse direction.
backs,1,"The rear of the body, especially the part between the neck and the end of the spine and opposite the chest and belly."
bad,-3,"Error, mistake."
badass,-3,"(negative connotation) A belligerent or mean person; a person with an unpleasantly extreme appearance, attitudes, or behavior."
badly,-3,"Ill, unwell."
bailout,-2,"A rescue, especially a financial rescue."
bamboozle,-2,"To con, defraud, trick, to make a fool of, to humbug or impose on someone."
bamboozled,-2,"To con, defraud, trick, to make a fool of, to humbug or impose on someone."
bamboozles,-2,"To con, defraud, trick, to make a fool of, to humbug or impose on someone."
ban,-2,Prohibition.
banish,-1,(heading) To send someone away and forbid that person from returning.
bankrupt,-3,One who becomes unable to pay his or her debts; an insolvent person.
bankster,-3,"A banker who is seen as criminally irresponsible, or as extorting bailout money from the taxpayers."
banned,-2,To summon; to call out.
bargain,2,"An agreement between parties concerning the sale of property; or a contract by which one party binds himself to transfer the right to some property for a consideration, and the other party binds himself to receive the property and pay the consideration."
barrier,-2,A structure that bars passage.
bastard,-5,"A person who was born out of wedlock, and hence often considered an illegitimate descendant."
bastards,-5,"A person who was born out of wedlock, and hence often considered an illegitimate descendant."
battle,-1,"A contest, a struggle."
battles,-1,"A contest, a struggle."
beaten,-2,To hit; strike
beatific,3,"Blessed, blissful, heavenly"
beating,-1,To hit; strike
beauties,3,"The quality of being (especially visually) attractive, pleasing, fine or good-looking; comeliness."
beautiful,3,Someone who is beautiful. Can be used as a term of address.
beautifully,3,In a beautiful manner.
beautify,3,"To make beautiful, or to increase the beauty of."
belittle,-2,"To knowingly say that something is smaller or less important than it actually is, especially as a way of showing contempt or deprecation."
belittled,-2,"To knowingly say that something is smaller or less important than it actually is, especially as a way of showing contempt or deprecation."
beloved,3,To please.
benefit,2,An advantage; help or aid from something.
benefits,2,An advantage; help or aid from something.
benefitted,2,To be or to provide a benefit to.
benefitting,2,To be or to provide a benefit to.
bereave,-2,To deprive by or as if by violence; to rob; to strip; to benim.
bereaved,-2,To deprive by or as if by violence; to rob; to strip; to benim.
bereaves,-2,To deprive by or as if by violence; to rob; to strip; to benim.
bereaving,-2,To deprive by or as if by violence; to rob; to strip; to benim.
best,3,"The supreme effort one can make, or has made."
betray,-3,"To deliver into the hands of an enemy by treachery or fraud, in violation of trust; to give up treacherously or faithlessly."
betrayal,-3,The act of betraying
betrayed,-3,"To deliver into the hands of an enemy by treachery or fraud, in violation of trust; to give up treacherously or faithlessly."
betraying,-3,"To deliver into the hands of an enemy by treachery or fraud, in violation of trust; to give up treacherously or faithlessly."
betrays,-3,"To deliver into the hands of an enemy by treachery or fraud, in violation of trust; to give up treacherously or faithlessly."
better,2,"An entity, usually animate, deemed superior to another; one who has a claim to precedence; a superior."
bias,-1,"Inclination towards something; predisposition, partiality, prejudice, preference, predilection."
biased,-2,To place bias upon; to influence.
big,1,Someone or something that is large in stature
bitch,-5,"(dog-breeding) A female dog or other canine, particularly a recent mother."
bitches,-5,"(dog-breeding) A female dog or other canine, particularly a recent mother."
bitter,-2,"(usually in the plural bitters) A liquid or powder, made from bitter herbs, used in mixed drinks or as a tonic."
bitterly,-2,In a bitter manner.
bizarre,-2,Strangely unconventional in style or appearance.
blah,-2,"Nonsense; drivel; idle, meaningless talk."
blame,-2,Censure.
blamed,-2,To censure (someone or something); to criticize.
blames,-2,To censure (someone or something); to criticize.
blaming,-2,The act of accusing or assigning culpability to
bless,2,"To make something holy by religious rite, sanctify."
blesses,2,"To make something holy by religious rite, sanctify."
blessing,3,"To make something holy by religious rite, sanctify."
blind,-1,A covering for a window to keep out light. The covering may be made of cloth or of narrow slats that can block light or allow it to pass.
bliss,3,Perfect happiness
blissful,3,"Extremely happy; full of joy; experiencing, indicating, causing, or characterized by bliss."
blithe,2,"(dated or literary) Happy, cheerful."
block,-1,"A substantial, often approximately cuboid, piece of any substance."
blockbuster,3,"A high-explosive bomb used for the purposes of demolishing extensive areas, such as a city block."
blocked,-1,To fill (something) so that it is not possible to pass.
blocking,-1,To fill (something) so that it is not possible to pass.
blocks,-1,"A substantial, often approximately cuboid, piece of any substance."
bloody,-3,To draw blood from one's opponent in a fight.
blurry,-2,"(of an image) Not clear, crisp, or focused; having fuzzy edges."
boastful,-2,Tending to boast or brag.
bold,2,A dwelling; habitation; building.
boldly,2,In a bold manner; with confidence.
bomb,-1,An explosive device used or intended as a weapon.
boost,1,"A push from behind, as to one who is endeavoring to climb."
boosted,1,To lift or push from behind (one who is endeavoring to climb); to push up.
boosting,1,To lift or push from behind (one who is endeavoring to climb); to push up.
boosts,1,"A push from behind, as to one who is endeavoring to climb."
bore,-2,"A hole drilled or milled through something, or (by extension) its diameter."
bored,-2,To inspire boredom in somebody.
boring,-3,To inspire boredom in somebody.
bother,-2,"Fuss, ado."
bothered,-2,"To annoy, to disturb, to irritate."
bothers,-2,"Fuss, ado."
bothersome,-2,Causing bother or perplexity.
boycott,-2,The act of boycotting.
boycotted,-2,"To abstain, either as an individual or a group, from using, buying, or dealing with someone or some organization as an expression of protest."
boycotting,-2,"To abstain, either as an individual or a group, from using, buying, or dealing with someone or some organization as an expression of protest."
boycotts,-2,The act of boycotting.
brainwashing,-3,A form of indoctrination that forces people to abandon their beliefs in favour of another set of beliefs by conditioning through various forms of pressure or torture
brave,2,A Native American warrior.
breakthrough,3,An advance through and past enemy lines.
breathtaking,5,Stunningly beautiful; amazing
bribe,-3,Something (usually money) given in exchange for influence or as an inducement to dishonesty.
bright,1,"An artist's brush used in oil and acrylic painting with a long ferrule and a flat, somewhat tapering bristle head."
brightest,2,"Visually dazzling; luminous, lucent, clear, radiant; not dark."
brightness,1,The quality of being bright.
brilliant,4,"A finely cut gemstone, especially a diamond, cut in a particular form with numerous facets so as to maximize light return through the top (called table) of the stone."
brisk,2,(often with up) To make or become lively; to enliven; to animate.
broke,-1,"To separate into two or more pieces, to fracture or crack, by a process that cannot easily be reversed for reassembly."
broken,-1,"To separate into two or more pieces, to fracture or crack, by a process that cannot easily be reversed for reassembly."
brooding,-2,To keep an egg warm to make it hatch.
bullied,-2,Having been a victim of a bully.
bullshit,-4,The faeces of a bull.
bully,-2,"A person who is intentionally, physically, or emotionally cruel to others; especially to those who are weaker or have less power or privilege."
bullying,-2,"An act of intimidating a person to do something, especially such repeated coercion."
bummer,-2,"A forager, especially in Sherman's March to the Sea of November to December 1864."
buoyant,2,Having buoyancy; able to float.
burden,-2,A heavy load.
burdened,-2,To encumber with a literal or figurative burden.
burdening,-2,To encumber with a literal or figurative burden.
burdens,-2,A heavy load.
calm,2,"(in a person) The state of being calm; peacefulness; absence of worry, anger, fear or other strong negative emotion."
calmed,2,To make calm.
calming,2,To make calm.
calms,2,"(in a person) The state of being calm; peacefulness; absence of worry, anger, fear or other strong negative emotion."
can't stand,-3,To strongly dislike or feel irritated by something.
cancel,-1,A cancellation (US); (nonstandard in some kinds of English).
cancelled,-1,To cross out something with lines etc.
cancelling,-1,To cross out something with lines etc.
cancels,-1,A cancellation (US); (nonstandard in some kinds of English).
cancer,-1,A disease in which the cells of a tissue undergo uncontrolled (and often rapid) proliferation.
capable,1,Able and efficient; having the ability needed for a specific task; having the disposition to do something; permitting or being susceptible to something.
captivated,3,To attract and hold interest and attention of; charm.
care,2,"Grief, sorrow."
carefree,1,Without cares or worries; free of concern or worries; without difficulty.
careful,2,"Taking care; attentive to potential danger, error or harm; cautious."
carefully,2,Sorrowfully.
careless,-2,Not concerned or worried (about).
cares,2,"Grief, sorrow."
cashing in,-2,Acting selfishly for personal profit.
casualty,-2,"Something that happens by chance, especially an unfortunate event; an accident, a disaster."
catastrophe,-3,Any large and disastrous event of great significance
catastrophic,-4,Of or pertaining to a catastrophe.
cautious,-1,Careful; using or exercising caution; tentative
celebrate,3,To extol or honour in a solemn manner.
celebrated,3,To extol or honour in a solemn manner.
celebrates,3,To extol or honour in a solemn manner.
celebrating,3,To extol or honour in a solemn manner.
censor,-2,"One of the two magistrates who originally administered the census of citizens, and by Classical times (between the 8th century B.C.E. and the 6th century C.E.) was a high judge of public behaviour and morality."
censored,-2,"To review for, and if necessary to remove or suppress, content from books, films, correspondence, and other media which is regarded as objectionable (for example, obscene, likely to incite violence, or sensitive)."
censors,-2,"One of the two magistrates who originally administered the census of citizens, and by Classical times (between the 8th century B.C.E. and the 6th century C.E.) was a high judge of public behaviour and morality."
certain,1,(with the) Something certain.
chagrin,-2,"Distress of mind caused by a failure of aims or plans, want of appreciation, mistakes etc; vexation or mortification."
chagrined,-2,To bother or vex; to mortify.
challenge,-1,A confrontation; a dare.
chance,2,An opportunity or possibility.
chances,2,An opportunity or possibility.
chaos,-2,The unordered state of matter in classical accounts of cosmogony.
chaotic,-2,A character having a chaotic alignment.
charged,-3,To assign a duty or responsibility to
charges,-2,The amount of money levied for a service.
charm,3,"An object, act or words believed to have magic power (usually carries a positive connotation)."
charming,3,"To seduce, persuade or fascinate someone or something."
charmless,-3,"(of character) unpleasant, unappealing, lacking charm"
chastise,-3,"To punish (someone), especially by corporal punishment."
chastised,-3,"To punish (someone), especially by corporal punishment."
chastises,-3,"To punish (someone), especially by corporal punishment."
chastising,-3,"To punish (someone), especially by corporal punishment."
cheat,-3,To violate rules in order to gain advantage from a situation.
cheated,-3,To violate rules in order to gain advantage from a situation.
cheater,-3,One who cheats.
cheaters,-3,One who cheats.
cheats,-3,To violate rules in order to gain advantage from a situation.
cheer,2,"A cheerful attitude; happiness; a good, happy, or positive mood."
cheered,2,To gladden; to make cheerful; often with up.
cheerful,2,Noticeably happy and optimistic.
cheering,2,To gladden; to make cheerful; often with up.
cheerless,-2,Devoid of cheer; gloomy.
cheers,2,"A cheerful attitude; happiness; a good, happy, or positive mood."
cheery,3,"(often sarcastic) In a good mood, happy, cheerful."
cherish,2,"To treat with affection, care, and tenderness; to nurture or protect with care."
cherished,2,"To treat with affection, care, and tenderness; to nurture or protect with care."
cherishes,2,"To treat with affection, care, and tenderness; to nurture or protect with care."
cherishing,2,"To treat with affection, care, and tenderness; to nurture or protect with care."
chic,2,Good form; style.
childish,-2,Of or suitable for a child.
chilling,-1,To lower the temperature of something; to cool
choke,-2,A control on a carburetor to adjust the air/fuel mixture when the engine is cold.
choked,-2,"To be unable to breathe because of obstruction of the windpipe (for instance food or other objects that go down the wrong way, or fumes or particles in the air that cause the throat to constrict)."
chokes,-2,A control on a carburetor to adjust the air/fuel mixture when the engine is cold.
choking,-2,"To be unable to breathe because of obstruction of the windpipe (for instance food or other objects that go down the wrong way, or fumes or particles in the air that cause the throat to constrict)."
clarifies,2,"(of liquids, such as wine or syrup) To make clear or bright by freeing from feculent matter"
clarity,2,"The state or measure of being clear, either in appearance, thought or style; lucidity."
clash,-2,"A loud sound, like the crashing together of metal objects."
classy,3,"Elegant, highly stylish or fashionable."
clean,2,Removal of dirt.
cleaner,2,"A person whose occupation is to clean floors, windows and other things."
clear,1,"Full extent; distance between extreme limits; especially; the distance between the nearest surfaces of two bodies, or the space between walls."
cleared,1,"To remove obstructions, impediments or other unwanted items from."
clearly,1,(manner) In a clear manner.
clears,1,"To remove obstructions, impediments or other unwanted items from."
clever,2,Nimble with hands or body; skillful; adept.
clouded,-1,"To become foggy or gloomy, or obscured from sight."
clueless,-2,Lacking knowledge or understanding; uninformed.
cock,-5,"A male bird, especially:"
cocksucker,-5,(strongly vulgar) Someone who performs fellatio.
cocksuckers,-5,(strongly vulgar) Someone who performs fellatio.
cocky,-2,Overly confident; arrogant and boastful.
coerced,-2,"To restrain by force, especially by law or authority; to repress; to curb."
collapse,-2,The act of collapsing.
collapsed,-2,To break apart and fall down suddenly; to cave in.
collapses,-2,The act of collapsing.
collapsing,-2,To break apart and fall down suddenly; to cave in.
collide,-1,"To impact directly, especially if violent."
collides,-1,"To impact directly, especially if violent."
colliding,-1,"To impact directly, especially if violent."
collision,-2,An instance of colliding.
collisions,-2,An instance of colliding.
colluding,-3,To act in concert with; to conspire
combat,-1,"A battle, a fight (often one in which weapons are used)."
combats,-1,"A battle, a fight (often one in which weapons are used)."
comedy,1,"A choric song of celebration or revel, especially in Ancient Greece."
comfort,2,"Contentment, ease."
comfortable,2,A stuffed or quilted coverlet for a bed; a comforter.
comforting,2,To relieve the distress or suffering of; to provide comfort to.
comforts,2,"Contentment, ease."
commend,2,Commendation; praise.
commended,2,To congratulate or reward.
commit,1,"The act of committing (e.g. a database transaction or source code into a source control repository), making it a permanent change."
commitment,2,"The act or an instance of committing, putting in charge, keeping, or trust, especially:"
commits,1,"The act of committing (e.g. a database transaction or source code into a source control repository), making it a permanent change."
committed,1,To give in trust; to put into charge or keeping; to entrust; to consign; used with to or formerly unto.
committing,1,To give in trust; to put into charge or keeping; to entrust; to consign; used with to or formerly unto.
compassionate,2,To feel compassion (for someone or with regard to something); to regard (someone or something) with compassion.
compelled,1,"To drive together, round up"
competent,2,"Having sufficient skill, knowledge, ability, or qualifications."
competitive,2,Capable of competing successfully
complacent,-2,Uncritically satisfied with oneself or one's achievements; smug.
complain,-2,"To express feelings of pain, dissatisfaction, or resentment."
complained,-2,"To express feelings of pain, dissatisfaction, or resentment."
complains,-2,"To express feelings of pain, dissatisfaction, or resentment."
comprehensive,2,A comprehensive school.
conciliate,2,"To make calm and content, or regain the goodwill of; to placate."
conciliated,2,"To make calm and content, or regain the goodwill of; to placate."
conciliates,2,"To make calm and content, or regain the goodwill of; to placate."
conciliating,2,"To make calm and content, or regain the goodwill of; to placate."
condemn,-2,To strongly criticise or denounce; to excoriate the perpetrators of.
condemnation,-2,The act of condemning or pronouncing to be wrong
condemned,-2,To strongly criticise or denounce; to excoriate the perpetrators of.
condemns,-2,To strongly criticise or denounce; to excoriate the perpetrators of.
confidence,2,Self-assurance.
confident,2,A person in whom one can confide or share one's secrets: a friend.
conflict,-2,"A clash or disagreement, often violent, between two or more opposing groups or individuals."
conflicting,-2,To be at odds (with); to disagree or be incompatible
conflictive,-2,Tending to cause disagreement or tension.
conflicts,-2,"A clash or disagreement, often violent, between two or more opposing groups or individuals."
confuse,-2,"To puzzle, perplex, baffle, bewilder (somebody)."
confused,-2,"To puzzle, perplex, baffle, bewilder (somebody)."
confusing,-2,"To puzzle, perplex, baffle, bewilder (somebody)."
congrats,2,"Expressing praise and approval, expressing approbation."
congratulate,2,To express one’s sympathetic pleasure or joy to the person(s) it is felt for.
congratulation,2,The act of congratulating.
congratulations,2,The act of congratulating.
consent,2,Voluntary agreement or permission.
consents,2,Voluntary agreement or permission.
